"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"96075","46100","95861","Choice Mutual Fund","Choice Gold ETF","INF2KCX01012","Commodity ETFs","Y","Y","Precious Metals"
"96079","46108","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Smallcap 250 ETF","INF769K01PQ4","Equity ETFs","Y","Y","Broad Market"
"96080","46107","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Energy ETF","INF769K01PR2","Equity ETFs","Y","Y","Energy"
"96104","46153","38442","Motilal Oswal Mutual Fund","Motilal Oswal BSE Select IPO ETF","INF247L01GI5","Equity ETFs","N","Y","Broad Market"
"96105","46102","41332","Groww Mutual Fund","Groww Nifty Midcap 150 ETF","INF666M01MV5","Equity ETFs","N","Y","Broad Market"
"96106","46101","20327","Kotak Mahindra Mutual Fund","Kotak Nifty Chemicals ETF","INF174KA1XV0","Equity ETFs","N","Y","Chemicals"
"96108","46174","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty Services Sector ETF","INF247L01GJ3","Equity ETFs","N","Y","Services"
"96109","46113","29993","Edelweiss Mutual Fund","Edelweiss BSE Sensex ETF","INF754K01VY8","Equity ETFs","Y","Y","Broad Market"
"96110","46114","29993","Edelweiss Mutual Fund","Edelweiss Nifty 50 ETF","INF754K01VX0","Equity ETFs","N","Y","Broad Market"
"96111","46115","94508","Angel One Mutual Fund","Angel One Nifty Total Market Momentum Qual. 50 ETF","INF1J2R01148","Equity ETFs","N","Y","Broad Market"
"96119","46194","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty MNC ETF","INF247L01GK1","Equity ETFs","N","Y","Broad Market"
"96120","46132","18585","DSP Mutual Fund","DSP MSCI India ETF","INF740KA1WV7","Equity ETFs","Y","Y","Broad Market"
"96130","46058","41332","Groww Mutual Fund","Groww Nifty Capital Markets ETF","INF666M01MM4","Equity ETFs","N","Y","Financial Services"
"96168","46192","21271","Bandhan Mutual Fund","Bandhan Silver ETF","INF194KB1KI9","Commodity ETFs","Y","Y","Precious Metals"
