"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"74396","40649","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Bank ETF","INF109KC15I8","Equity ETFs","Y","Y","Banks"
"74460","40749","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Private Bank ETF","INF109KC18U7","Equity ETFs","Y","Y","Banks"
"74466","40742","19712","Nippon India Mutual Fund","Nippon India ETF S&P BSE Sensex Next 50","INF204KB15D0","Equity ETFs","Y","N","Broad Market"
"74492","40792","5431","Tata Mutual Fund","Tata Nifty Private Bank ETF","INF277K010X4","Equity ETFs","N","Y","Banks"
"74581","40916","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty Bank ETF","INF209KB17D5","Equity ETFs","Y","Y","Banks"
"74648","41021","29993","Edelweiss Mutual Fund","Bharat Bond ETF - April 2030","INF754K01KO2","Debt ETFs","Y","Y","Corporate Bond"
"74676","41092","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Midcap 150 ETF","INF109KC11W8","Equity ETFs","Y","Y","Broad Market"
"74684","41083","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Next 50 ETF","INF769K01FN2","Equity ETFs","Y","Y","Broad Market"
"74813","41568","19712","Nippon India Mutual Fund","Nippon India ETF Nifty IT","INF204KB15V2","Equity ETFs","Y","Y","IT - Software"
"74820","41603","29993","Edelweiss Mutual Fund","Bharat Bond ETF - April 2031","INF754K01LE1","Debt ETFs","Y","Y","Corporate Bond"
