"co_code","bsecode","nsesymbol","companyname","companyshortname","categoryname","isin","bsegroup","mcap","mcaptype","displaytype","sectorcode","sectorname","industrycode","industryname","bselistedflag","nselistedflag","BSEStatus","NSEStatus"
"184","505714","GABRIEL","Gabriel India Ltd","Gabriel India","Company","INE524A01029","A","25178.18","Small Cap","MAN","00000004","Auto Ancillaries","00000023","Auto Ancillaries - Shock Absorbers","Y","Y","Active","Active"
"401","502168","NCLIND","NCL Industries Ltd","NCL Industries","Company","INE732C01016","B","785.47","Small Cap","MAN","00000011","Cement","00000047","Cement - Mini - South India","Y","Y","Active","Active"
"434","500680","PFIZER","Pfizer Ltd","Pfizer","Company","INE182A01018","A","22759.95","Small Cap","MAN","00000046","Pharmaceuticals","00000228","Pharmaceuticals - Multinational","Y","Y","Active","Active"
"514","500550","SIEMENS","Siemens Ltd","Siemens","Company","INE003A01024","A","139723.88","Large Cap","MAN","00000008","Capital Goods - Electrical Equipment","00000097","Electric Equipment - General - Large","Y","Y","Active","Active"
"601","504220","WSI","W S Industries (India) Ltd","W S Inds.","Company","INE100D01014","B","462.81","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000076","Construction - Civil / Turnkey - Medium / Small","Y","Y","Active","Active"
"674","504810","undefined","Informed Technologies India Ltd","Informed Techn.","Company","INE123E01014","X","33.36","Small Cap","SOFTWARE","00000034","IT - Software","00000334","IT Enabled Services / Business Process Outsourcing","Y","N","Active","Not Listed"
"819","513149","undefined","Acrow India Ltd","Acrow India","Company","INE950D01012","X","49.92","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"996","507852","ADDIND","Addi Industries Ltd","Addi Industries","Company","INE757C01021","B","94.85","Small Cap","MAN","00000062","Textiles","00000311","Textiles - Hosiery / Knitwear","Y","Y","Active","Active"
"1026","500171","GHCL","GHCL Ltd","GHCL","Company","INE539A01019","A","4075.4","Small Cap","MAN","00000014","Chemicals","00000053","Chemicals - Inorganic - Large","Y","Y","Active","Active"
"1142","523222","undefined","SRM Energy Ltd","SRM Energy Ltd","Company","INE173J01018","X","21.61","Small Cap","POWER","00000049","Power","00000243","Power Generation And Supply","Y","N","Active","Not Listed"
"1168","503776","MODIPON","Modipon Ltd","Modipon","Company","INE170C01019","X","41.33","Small Cap","MAN","00000051","Realty","00000076","Construction - Civil / Turnkey - Medium / Small","Y","N","Active","Delisted"
"1240","520081","ESTCSTSTEL","Eastcoast Steel Ltd","Eastcoast Steel","Company","INE315F01013","P","10.69","Small Cap","MAN","00000057","Steel","00000317","Trading - Medium / Small","Y","N","Active","Delisted"
"1258","511108","SHIVATEX","Shiva Texyarn Ltd","Shiva Texyarn","Company","INE705C01020","B","214.79","Small Cap","MAN","00000062","Textiles","00000292","Textiles - Spinning/Cotton/Blended Yarn - Ring Spg","Y","Y","Active","Active"
"1358","523011","WEIZMANIND","Weizmann Ltd","Weizmann","Company","INE080A01014","B","118.53","Small Cap","MAN","00000062","Textiles","00000303","Textiles - Texturising","Y","Y","Active","Active"
"1477","511012","undefined","Yamini Investment Company Ltd","Yamini Invest","Company","INE457N01025","XT","34.17","Small Cap","FIN","00000026","Finance","00000143","Finance - Investment / Others","Y","N","Active","Not Listed"
"1486","504176","undefined","High Energy Batteries (India) Ltd","High Energy Bat.","Company","INE783E01023","X","557.37","Small Cap","MAN","00000085","Aerospace & Defence","00000098","Electric Equipment - General - Medium / Small","Y","N","Active","Not Listed"
"1596","501111","undefined","Gold Rock Investments Ltd","Gold Rock Inves.","Company","INE598F01014","XT","0.96","Small Cap","undefined","00000026","Finance","00000348","NBFC-Others","Y","N","Active","Not Listed"
"1670","505302","undefined","Lakshmi Engineering & Warehousing Ltd","Lakshmi Engg.","Company","INE718M01022","X","140.44","Small Cap","MAN","00000039","Engineering","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"1703","507962","undefined","Fynx Capital Ltd","Fynx Capital","Company","INE455H01021","XT","135.8","Small Cap","undefined","00000026","Finance","00000348","NBFC-Others","Y","N","Active","Not Listed"
"1725","500186","HINDOILEXP","Hindustan Oil Exploration Company Ltd","Hind.Oil Explor.","Company","INE345A01011","B","2063","Small Cap","MAN","00000019","Oil & Gas","00000201","Oil Exploration / Allied Services","Y","Y","Active","Active"
"19","532141","ACL","Andhra Cements Ltd","Andhra Cements","Company","INE666E01020","B","417.72","Small Cap","MAN","00000011","Cement","00000045","Cement - Major - South India","Y","Y","Active","Active"
"99","500084","CESC","CESC Ltd","CESC","Company","INE486A01021","A","20546.34","Small Cap","POWER","00000049","Power","00000243","Power Generation And Supply","Y","Y","Active","Active"
"135","500645","DEEPAKFERT","Deepak Fertilisers & Petrochemicals Corp Ltd","Deepak Fertilis.","Company","INE501A01019","A","18298.8","Small Cap","MAN","00000014","Chemicals","00000053","Chemicals - Inorganic - Large","Y","Y","Active","Active"
"262","504067","ZENSARTECH","Zensar Technologies Ltd","Zensar Tech.","Company","INE520A01027","A","11006.84","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","Y","Y","Active","Active"
"304","530007","JKTYRE","JK Tyre & Industries Ltd","JK Tyre & Indust","Company","INE573A01042","A","10806.53","Small Cap","MAN","00000065","Tyres","00000322","Tyres - Large","Y","Y","Active","Active"
"341","507190","KOTARISUG","Kothari Sugars & Chemicals Ltd","Kothari Sugars","Company","INE419A01022","B","275.94","Small Cap","MAN","00000059","Sugar","00000279","Sugar - Integrated","N","Y","Delisted","Active"
"415","500730","NOCIL","NOCIL Ltd","NOCIL","Company","INE163A01018","B","2770.94","Small Cap","MAN","00000014","Chemicals","00000055","Chemicals - Speciality - Large","Y","Y","Active","Active"
"440","506605","POLYCHEM","Polychem Ltd","Polychem","Company","INE752B01024","X","78.8","Small Cap","MAN","00000014","Chemicals","00000056","Chemicals - Speciality - Medium / Small","Y","N","Active","Delisted"
"466","502587","undefined","Nath Industries Ltd","Nath Industries","Company","INE777A01023","X","94.79","Small Cap","MAN","00000044","Paper","00000214","Paper - Medium / Small","Y","N","Active","Not Listed"
"513","503806","SRF","SRF Ltd","SRF","Company","INE647A01010","A","76372.37","Mid Cap","MAN","00000014","Chemicals","00000055","Chemicals - Speciality - Large","Y","Y","Active","Active"
"535","500380","JKLAKSHMI","JK Lakshmi Cement Ltd","JK Lakshmi Cem.","Company","INE786A01032","A","6937.81","Small Cap","MAN","00000011","Cement","00000044","Cement - Major - North India","Y","Y","Active","Active"
"562","505400","TEXINFRA","Texmaco Infrastructure & Holdings Ltd","Texmaco Infrast.","Company","INE435C01024","B","1374.3","Small Cap","MAN","00000051","Realty","00000077","Construction - Factories / Offices / Commercial","Y","Y","Active","Active"
"566","500470","TATASTEEL","Tata Steel Ltd","Tata Steel","Company","INE081A01020","A","227949.21","Large Cap","MAN","00000057","Steel","00000259","Steel - Large","Y","Y","Active","Active"
"638","513117","AMFORGEIND","Amforge Industries Ltd","Amforge Inds.","Company","INE991A01020","X","8.09","Small Cap","FIN","00000026","Finance","00000143","Finance - Investment / Others","Y","N","Active","Delisted"
"831","515018","REGENCERAM","Regency Ceramics Ltd","Regency Ceramics","Company","INE277C01012","B","95.03","Small Cap","MAN","00000013","Ceramic Products","00000049","Ceramics - Tiles","Y","Y","Active","Active"
"872","531862","undefined","Bharat Agri Fert & Realty Ltd","Bharat Agri Fert","Company","INE842D01029","X","121.41","Small Cap","HOTEL","00000031","Hospitality","00000171","Hotels - Resorts","Y","N","Active","Not Listed"
"888","505255","GMMPFAUDLR","GMM Pfaudler Ltd","GMM Pfaudler","Company","INE541A01023","A","4592.83","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000122","Engineering - Heavy - Glass-lined Equipment","Y","Y","Active","Active"
"956","513043","undefined","Remi Edelstahl Tubulars Ltd","Remi Edelstahl","Company","INE158G01015","X","292.09","Small Cap","MAN","00000057","Steel","00000269","Steel - Tubes / Pipes","Y","N","Active","Not Listed"
"979","507785","TAINWALCHM","Tainwala Chemicals & Plastics (India) Ltd","Tainwala Chem.","Company","INE123C01018","B","202.36","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","Y","Active","Active"
"1003","506981","undefined","Bluechip Tex Industries Ltd","Bluechip Tex Ind","Company","INE472D01017","X","23.05","Small Cap","MAN","00000062","Textiles","00000303","Textiles - Texturising","Y","N","Active","Not Listed"
"31","500477","ASHOKLEY","Ashok Leyland Ltd","Ashok Leyland","Company","INE208A01029","A","101617.68","Mid Cap","MAN","00000005","Automobile","00000011","Automobiles - LCVs/HCVs","Y","Y","Active","Active"
"105","509496","CEMPRO","Cemindia Projects Ltd","Cemindia Project","Company","INE686A01026","A","21896.9","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000075","Construction - Civil / Turnkey - Large","Y","Y","Active","Active"
"180","504704","GKWLIMITED","GKW Ltd","GKW","Company","INE528A01020","undefined","959.08","Small Cap","FIN","00000026","Finance","00000143","Finance - Investment / Others","N","Y","Delisted","Active"
"249","500032","BAJAJHIND","Bajaj Hindusthan Sugar Ltd","Bajaj Hindusthan","Company","INE306A01021","B","5536.78","Small Cap","MAN","00000059","Sugar","00000279","Sugar - Integrated","Y","Y","Active","Active"
"255","500696","HINDUNILVR","Hindustan Unilever Ltd","Hind. Unilever","Company","INE030A01027","A","473912.56","Large Cap","MAN","00000027","FMCG","00000217","Personal Care - Multinational","Y","Y","Active","Active"
"282","500850","INDHOTEL","Indian Hotels Co Ltd","Indian Hotels Co","Company","INE053A01029","A","104401.64","Mid Cap","HOTEL","00000031","Hospitality","00000168","Hotels - Large","Y","Y","Active","Active"
"306","500223","JCT","JCT Ltd","JCT","Company","INE945A01026","Z","105.07","Small Cap","MAN","00000062","Textiles","00000290","Textiles - Composite/Cotton/Blended/Fabric - LARGE","Y","N","Suspended","Delisted"
"505","509874","SHALPAINTS","Shalimar Paints Ltd","Shalimar Paints","Company","INE849C01026","T","676.8","Small Cap","MAN","00000043","Paints/Varnish","00000212","Paints / Varnishes","Y","Y","Active","Active"
"516","503811","SIYSIL","Siyaram Silk Mills Ltd","Siyaram Silk","Company","INE076B01028","B","2752.83","Small Cap","MAN","00000062","Textiles","00000304","Textiles - Weaving","Y","Y","Active","Active"
"538","520056","TVSHLTD","TVS Holdings Ltd","TVS Holdings","Company","INE105A01035","A","28171.89","Small Cap","undefined","00000026","Finance","00000347","NBFC-Holding Companies","Y","Y","Active","Active"
"577","506690","UNICHEMLAB","Unichem Laboratories Ltd","Unichem Labs.","Company","INE351A01035","B","3701.93","Small Cap","MAN","00000046","Pharmaceuticals","00000225","Pharmaceuticals - Indian - Bulk Drugs & Formln M/S","Y","Y","Active","Active"
"677","500259","LYKALABS","Lyka Labs Ltd","Lyka Labs","Company","INE933A01014","T","265.58","Small Cap","MAN","00000046","Pharmaceuticals","00000225","Pharmaceuticals - Indian - Bulk Drugs & Formln M/S","Y","Y","Active","Active"
"751","532629","MBECL","McNally Bharat Engineering Company Ltd","McNally Bharat","Company","INE748A01016","Z","68.55","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000129","Engineering - Turnkey Services","Y","Y","Suspended","Suspended"
"769","508571","undefined","Cochin Malabar Estates & Industries Ltd","Cochin Malabar","Company","INE788M01017","X","24.14","Small Cap","MAN","00000039","Plantation & Plantation Products","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"922","507180","KESARENT","Kesar Enterprises Ltd","Kesar Enterprise","Company","INE133B01027","X","70.86","Small Cap","MAN","00000059","Sugar","00000279","Sugar - Integrated","Y","N","Active","Delisted"
"941","520043","MUNJALSHOW","Munjal Showa Ltd","Munjal Showa","Company","INE577A01027","B","524.73","Small Cap","MAN","00000004","Auto Ancillaries","00000023","Auto Ancillaries - Shock Absorbers","Y","Y","Active","Active"
"991","500039","BANCOINDIA","Banco Products (India) Ltd","Banco Products","Company","INE213C01025","A","8914.08","Small Cap","MAN","00000004","Auto Ancillaries","00000031","Auto Ancillaries - Others","Y","Y","Active","Active"
"1079","500463","BBOX","Black Box Ltd","Black Box","Company","INE676A01027","A","13774.59","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","Y","Y","Active","Active"
"1174","517176","undefined","Webel Communication Industries Ltd","Webel Commn.","Company","undefined","Y","undefined","undefined","MAN","00000060","Telecom Equipment & Infra Services","00000287","Telecommunications - Equipment - Medium / Small","Y","N","Suspended","Not Listed"
"1360","507817","undefined","Wires & Fabriks (S.A) Ltd","Wires & Fabriks","Company","INE469D01013","X","44.37","Small Cap","MAN","00000062","Textiles","00000315","Textiles - Others","Y","N","Active","Not Listed"
"55","502355","BALKRISIND","Balkrishna Industries Ltd","Balkrishna Inds","Company","INE787D01026","A","45411.17","Mid Cap","MAN","00000065","Tyres","00000322","Tyres - Large","Y","Y","Active","Active"
"149","500126","PGHL","Procter & Gamble Health Ltd","P & G Health Ltd","Company","INE199A01012","A","9684.91","Small Cap","MAN","00000046","Pharmaceuticals","00000228","Pharmaceuticals - Multinational","Y","Y","Active","Active"
"154","500128","ELECTCAST","Electrosteel Castings Ltd","Electrost.Cast.","Company","INE086A01029","A","4557.26","Small Cap","MAN","00000010","Castings, Forgings & Fastners","00000042","Castings - Grey Iron","Y","Y","Active","Active"
"278","509692","INDIANCARD","Indian Card Clothing Company Ltd","Indian CardCloth","Company","INE061A01014","B","128.92","Small Cap","MAN","00000062","Textiles","00000315","Textiles - Others","Y","Y","Active","Active"
"287","505729","SINGERIND","Singer India Ltd","Singer India","Company","INE638A01035","B","509.95","Small Cap","MAN","00000017","Consumer Durables","00000317","Trading - Medium / Small","Y","Y","Active","Active"
"336","500241","KIRLOSBROS","Kirloskar Brothers Ltd","Kirl. Brothers","Company","INE732A01036","A","15140.9","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000245","Pumps","Y","Y","Active","Active"
"342","500249","KSB","KSB Ltd","KSB","Company","INE999A01023","A","13949.24","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000245","Pumps","Y","Y","Active","Active"
"385","500284","LORDSCHLO","Lords Chloro Alkali Ltd","Lords Chloro","Company","INE846D01012","B","385.25","Small Cap","MAN","00000014","Chemicals","00000065","Chlor-Alkali","Y","Y","Active","Active"
"419","504879","ORIENTCER","Orient Ceratech Ltd","Orient Ceratech","Company","INE569C01020","B","546.87","Small Cap","MAN","00000053","Refractories","00000248","Refractories / Intermediates","Y","Y","Active","Active"
"491","506642","SADHNANIQ","Sadhana Nitro Chem Ltd","Sadhana Nitro","Company","INE888C01040","T","909.66","Small Cap","MAN","00000014","Chemicals","00000052","Chemicals - Organic - Medium / Small","Y","Y","Active","Active"
"544","505192","SMLMAH","SML Mahindra Ltd","SML Mahindra","Company","INE294B01019","A","7699.63","Small Cap","MAN","00000005","Automobile","00000011","Automobiles - LCVs/HCVs","Y","Y","Active","Active"
"670","532256","NSIL","Nalwa Sons Investments Ltd","Nalwa Sons Invst","Company","INE023A01030","B","2873.23","Small Cap","undefined","00000026","Finance","00000347","NBFC-Holding Companies","Y","Y","Active","Active"
"690","505355","NESCO","NESCO Ltd","NESCO","Company","INE317F01035","A","7303.17","Small Cap","MAN","00000051","Realty","00000077","Construction - Factories / Offices / Commercial","Y","Y","Active","Active"
"915","507981","undefined","Jindal Hotels Ltd","Jindal Hotels","Company","INE726D01016","X","43.4","Small Cap","HOTEL","00000031","Hospitality","00000170","Hotels - Small","Y","N","Active","Not Listed"
"1011","531547","undefined","Tirupati Industries (India) Ltd","Tirupati Inds.","Company","INE329E01017","Z","2.04","Small Cap","MAN","00000023","Edible Oil","00000257","Solvent Extraction - Medium / Small","Y","N","Suspended","Not Listed"
"1050","514087","PBMPOLY","PBM Polytex Ltd","PBM Polytex","Company","INE501F01018","B","41.71","Small Cap","MAN","00000062","Textiles","00000292","Textiles - Spinning/Cotton/Blended Yarn - Ring Spg","Y","Y","Active","Active"
"1052","509055","VISAKAIND","Visaka Industries Ltd","Visaka Industrie","Company","INE392A01021","B","816.52","Small Cap","MAN","00000012","Cement - Products","00000048","Cement Products","Y","Y","Active","Active"
"1066","515037","MURUDCERA","Murudeshwar Ceramics Ltd","Murudesh.Ceramic","Company","INE692B01014","B","184.42","Small Cap","MAN","00000013","Ceramic Products","00000049","Ceramics - Tiles","Y","Y","Active","Active"
"1093","523204","ABAN","Aban Offshore Ltd","Aban Offshore","Company","INE421A01028","T","96.77","Small Cap","MAN","00000019","Oil & Gas","00000201","Oil Exploration / Allied Services","Y","Y","Suspended","Active"
"1189","500183","HFCL","HFCL Ltd","HFCL","Company","INE548A01028","A","34897.74","Small Cap","MAN","00000060","Telecom Equipment & Infra Services","00000040","Cables - Telephone","Y","Y","Active","Active"
"1782","505250","undefined","G G Dandekar Properties Ltd","G G Dandekar","Company","INE631D01026","X","34.02","Small Cap","MAN","00000051","Realty","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"1872","509038","undefined","Voltaire Leasing & Finance Ltd","Voltaire Leasing","Company","INE763D01019","X","6.78","Small Cap","undefined","00000026","Finance","00000348","NBFC-Others","Y","N","Active","Not Listed"
"1932","512157","undefined","Terraform Realstate Ltd","Terraform Real","Company","INE123V01018","P","0","Small Cap","MAN","00000051","Realty","00000077","Construction - Factories / Offices / Commercial","Y","N","Active","Not Listed"
"1994","501630","undefined","Anand Projects Ltd","Anand Proj.","Company","INE134R01013","XT","3.53","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000076","Construction - Civil / Turnkey - Medium / Small","Y","N","Active","Not Listed"
"2133","523425","undefined","Sunraj Diamond Exports Ltd","Sunraj Diamond","Company","INE459D01014","XT","7.12","Small Cap","MAN","00000020","Diamond, Gems and Jewellery","00000087","Diamond Cutting / Jewellery - Medium / Small","Y","N","Active","Not Listed"
"2235","514165","INDIANACRY","Indian Acrylics Ltd","Indian Acrylics","Company","INE862B01013","X","78.08","Small Cap","MAN","00000062","Textiles","00000302","Textiles - Acrylic Fibre","Y","N","Active","Delisted"
"2304","532234","NATIONALUM","National Aluminium Company Ltd","Natl. Aluminium","Company","INE139A01034","A","72546.96","Mid Cap","MAN","00000040","Metal","00000003","Aluminium","Y","Y","Active","Active"
"2347","523598","SCI","Shipping Corporation of India Ltd","S C I","Company","INE109A01011","A","13538.48","Small Cap","SHIP","00000056","Shipping","00000253","Shipping - Large","Y","Y","Active","Active"
"2427","523546","undefined","Indo-Maxwell Ltd","Indo-Maxwell","Company","undefined","B","undefined","undefined","MAN","00000017","Consumer Durables","00000112","Electronics - Soft Ferrites","Y","N","Suspended","Not Listed"
"2435","514177","undefined","Rishabh Special Yarns Ltd","Rishabh Sp. Yarn","Company","INE351D01013","X","22.01","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"2551","523323","KOVAI","Kovai Medical Center & Hospital Ltd","Kovai Medical","Company","INE177F01017","B","6607.21","Small Cap","MAN","00000030","Healthcare","00000167","Hospitals / Medical Services","Y","Y","Active","Active"
"3098","526081","undefined","SC Agrotech Ltd","SC Agrotech","Company","INE895E01017","XT","224.19","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"3218","526169","undefined","Multibase India Ltd","Multibase India","Company","INE678F01014","X","231.64","Small Cap","MAN","00000014","Chemicals","00000056","Chemicals - Speciality - Medium / Small","Y","N","Active","Not Listed"
"3225","522163","DIACABS","Diamond Power Infrastructure Ltd","Diamond Power","Company","INE989C01038","T","21297.31","Small Cap","MAN","00000007","Cables","00000038","Cables - Power - Large","Y","Y","Active","Active"
"3231","524394","VIMTALABS","Vimta Labs Ltd","Vimta Labs","Company","INE579C01029","B","2817.51","Small Cap","MAN","00000030","Healthcare","00000329","Miscellaneous - Medium / Small","Y","Y","Active","Active"
"3349","526325","ORIENTLTD","Orient Press Ltd","Orient Press","Company","INE609C01024","T","82.49","Small Cap","MAN","00000042","Packaging","00000208","Packaging - Lamination / Processors - Medium/Small","Y","Y","Active","Active"
"3603","513544","undefined","Mardia Samyoung Capillary Tubes Company Ltd","Mardia Samyoung","Company","INE277E01026","XT","393.49","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Suspended","Not Listed"
"3674","519367","undefined","Transglobe Foods Ltd","Transglobe Foods","Company","INE213P01027","X","5.79","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"3936","524592","JDORGOCHEM","Jaysynth Orgochem Ltd","Jaysynth Orgo","Company","INE263B01022","X","180.5","Small Cap","MAN","00000014","Chemicals","00000094","Dyes And Pigments - Medium / Small","Y","N","Active","Delisted"
"4079","524634","ALUFLUOR","Alufluoride Ltd","Alufluoride","Company","INE058F01019","B","360.45","Small Cap","MAN","00000014","Chemicals","00000006","Aluminium Chemicals","Y","Y","Active","Active"
"90","500488","ABBOTINDIA","Abbott India Ltd","Abbott India","Company","INE358A01014","A","55771.79","Mid Cap","MAN","00000046","Pharmaceuticals","00000228","Pharmaceuticals - Multinational","Y","Y","Active","Active"
"218","500425","AMBUJACEM","Ambuja Cements Ltd","Ambuja Cements","Company","INE079A01024","A","103095.07","Mid Cap","MAN","00000011","Cement","00000044","Cement - Major - North India","Y","Y","Active","Active"
"242","500002","ABB","ABB India Ltd","A B B","Company","INE117A01022","A","157066.49","Large Cap","MAN","00000008","Capital Goods - Electrical Equipment","00000097","Electric Equipment - General - Large","Y","Y","Active","Active"
"270","530005","INDIACEM","India Cements Ltd","India Cements","Company","INE383A01012","A","11486.34","Small Cap","MAN","00000011","Cement","00000045","Cement - Major - South India","Y","Y","Active","Active"
"295","500210","INGERRAND","Ingersoll-Rand (India) Ltd","Ingersoll-Rand","Company","INE177A01018","B","14708.95","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000068","Compressors / Drilling Equipment","Y","Y","Active","Active"
"346","500252","LMW","LMW Ltd","LMW","Company","INE269B01029","A","21204.95","Small Cap","MAN","00000072","Engineering","00000289","Textile machinery","Y","Y","Active","Active"
"444","506022","PRAKASH","Prakash Industries Ltd","Prakash Industri","Company","INE603A01013","B","2305.68","Small Cap","MAN","00000057","Steel","00000276","Steel - Rolling","Y","Y","Active","Active"
"463","502271","undefined","Raasi Refractories Ltd","Raasi Refractor","Company","INE858D01017","XT","8.36","Small Cap","MAN","00000053","Refractories","00000248","Refractories / Intermediates","Y","N","Suspended","Not Listed"
"474","500330","RAYMOND","Raymond Ltd","Raymond","Company","INE301A01014","A","4279.69","Small Cap","MAN","00000002","Air Transport Service","00000319","Transport - Airlines","Y","Y","Active","Active"
"500","501887","undefined","Scindia Steam Navigation Co. Ltd","Scindia Steam","Company","undefined","undefined","undefined","undefined","SHIP","00000056","Shipping","00000254","Shipping - medium / small","Y","N","Suspended","Not Listed"
"526","509243","TVSSRICHAK","TVS Srichakra Ltd","TVS Srichakra","Company","INE421C01016","B","3733.75","Small Cap","MAN","00000065","Tyres","00000322","Tyres - Large","Y","Y","Active","Active"
"676","504258","LAKSELECON","Lakshmi Electrical Control Systems Ltd","Lak. Electrical","Company","INE284C01018","X","204.24","Small Cap","MAN","00000008","Capital Goods - Electrical Equipment","00000098","Electric Equipment - General - Medium / Small","Y","N","Active","Delisted"
"1016","500114","TITAN","Titan Company Ltd","Titan Company","Company","INE280A01028","A","450995.37","Large Cap","MAN","00000020","Diamond, Gems and Jewellery","00000086","Diamond Cutting / Jewellery - Large","Y","Y","Active","Active"
"1034","523160","undefined","Foseco Crucible (India) Ltd","Foseco Crucible (India)","Company","INE599F01020","X","877.69","Small Cap","MAN","00000053","Refractories","00000248","Refractories / Intermediates","Y","N","Active","Not Listed"
"1204","513252","undefined","Jay Ushin Ltd","Jay Ushin","Company","INE289D01015","X","337.6","Small Cap","MAN","00000004","Auto Ancillaries","00000031","Auto Ancillaries - Others","Y","N","Active","Not Listed"
"1320","531120","PATELENG","Patel Engineering Ltd","Patel Engineerin","Company","INE244B01030","A","2793.87","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000075","Construction - Civil / Turnkey - Large","Y","Y","Active","Active"
"1463","502589","undefined","Vapi Enterprise Ltd","Vapi Enterprise","Company","INE464D01014","XT","35.74","Small Cap","MAN","00000039","Paper","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"1484","512109","undefined","Aviva Industries Ltd","Aviva Industries","Company","INE461H01011","X","197.92","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"1490","512345","undefined","Lexora Global Ltd","Lexora Global","Company","INE745A01012","XT","176.3","Small Cap","FIN","00000026","Finance","00000138","Finance - Small","Y","N","Active","Not Listed"
"1699","512091","undefined","Global Defence Industries Limited","Global Defence Industries","Company","INE425H01016","XT","1.87","Small Cap","MAN","00000085","Aerospace & Defence","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"57","500041","BANARISUG","Bannari Amman Sugars Ltd","Bannari Amm.Sug.","Company","INE459A01010","B","5027.35","Small Cap","MAN","00000059","Sugar","00000279","Sugar - Integrated","Y","Y","Active","Active"
"93","500825","BRITANNIA","Britannia Industries Ltd","Britannia Inds.","Company","INE216A01030","A","129202.96","Large Cap","MAN","00000027","FMCG","00000150","Food And Dairy Products - Multinational","Y","Y","Active","Active"
"142","500120","DIAMINESQ","Diamines & Chemicals Ltd","Diamines & Chem.","Company","INE591D01014","B","242.04","Small Cap","MAN","00000014","Chemicals","00000056","Chemicals - Speciality - Medium / Small","Y","Y","Active","Active"
"159","522275","GVT&D","GE Vernova T&D India Ltd","GE Vernova T&D","Company","INE200A01026","A","105970.13","Mid Cap","MAN","00000008","Capital Goods - Electrical Equipment","00000097","Electric Equipment - General - Large","Y","Y","Active","Active"
"195","500660","GLAXO","Glaxosmithkline Pharmaceuticals Ltd","Glaxosmi. Pharma","Company","INE159A01016","A","49120.97","Mid Cap","MAN","00000046","Pharmaceuticals","00000228","Pharmaceuticals - Multinational","Y","Y","Active","Active"
"281","505726","IFBIND","IFB Industries Ltd","IFB Industries","Company","INE559A01017","B","5670.37","Small Cap","MAN","00000017","Consumer Durables","00000091","Domestic Appliances - White Goods","Y","Y","Active","Active"
"345","500251","TRENT","Trent Ltd","Trent","Company","INE849A01020","A","155837.14","Large Cap","MAN","00000054","Retail","00000316","Trading - Large","Y","Y","Active","Active"
"394","506906","undefined","Saptak Chem & Business Ltd","Saptak Chem &","Company","INE467X01023","XT","10.08","Small Cap","MAN","00000054","Retail","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"597","500575","VOLTAS","Voltas Ltd","Voltas","Company","INE226A01021","A","40794.78","Mid Cap","MAN","00000017","Consumer Durables","00000002","Air-conditioners","Y","Y","Active","Active"
"606","505412","WENDT","Wendt India Ltd","Wendt India","Company","INE274C01019","B","1634.08","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000001","Abrasives and Grinding Wheels","Y","Y","Active","Active"
"611","504227","WILLARDLTD","Willard India Ltd","Willard India","Company","INE481D01018","XT","16.93","Small Cap","MAN","00000059","Sugar","00000280","Sugar - Others","Y","N","Suspended","Delisted"
"723","504988","undefined","Welcast Steels Ltd","Welcast Steels","Company","INE380G01015","X","41.46","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000001","Abrasives and Grinding Wheels","Y","N","Active","Not Listed"
"830","506975","RAJASPETRO","Rajasthan Petro Synthetics Ltd","Rajas. Petro Syn","Company","INE374C01017","P","17.82","Small Cap","MAN","00000039","Textiles","00000329","Miscellaneous - Medium / Small","Y","N","Active","Suspended"
"833","514060","undefined","Newtrac Foods & Beverages Ltd","Newtrac Foods","Company","INE229N01010","XT","26.21","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
