"co_code","bsecode","nsesymbol","companyname","companyshortname","categoryname","isin","bsegroup","mcap","mcaptype","displaytype","sectorcode","sectorname","industrycode","industryname","bselistedflag","nselistedflag","BSEStatus","NSEStatus"
"96055","544852","undefined","Oneindig Technologies Ltd","Oneindig Technologies","Company","INE0UR501013","M","157.82","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000129","Engineering - Turnkey Services","Y","N","Active","Not Listed"
"96056","544684","undefined","Digilogic Systems Ltd","Digilogic Systems","Company","INE1OOT01028","MT","601.02","Small Cap","MAN","00000085","Aerospace & Defence","00000118","Electronics - Others","Y","N","Active","Not Listed"
"96105","96105","GROWWMC150","Groww Nifty Midcap 150 ETF","Groww NM 150 ETF","Company","INF666M01MV5","undefined","undefined","undefined","undefined","00000069","ETF","undefined","undefined","N","Y","Not Listed","Active"
"96459","544706","ABSLMSCIN","Aditya Birla Sun Life MSCI India ETF","Aditya Birla SLMSCI India ETF","Company","INF209KC1662","B","undefined","undefined","undefined","00000069","ETF","undefined","undefined","Y","Y","Active","Active"
"43363","537750","KIRANVYPAR","Kiran Vyapar Ltd","Kiran Vyapar","Company","INE555P01013","B","534.91","Small Cap","undefined","00000026","Finance","00000348","NBFC-Others","Y","Y","Active","Active"
"51458","532897","PR2XLEVE","Nifty50 PR 2x Leverage","Nifty50 PR 2xLev","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","No","Yes","undefined","undefined"
"64852","532066","3RDROCK","3rd Rock Multimedia Ltd","3rd Rock Multi","Company","INE768P01012","undefined","0","Small Cap","MAN","00000039","Entertainment","00000329","Miscellaneous - Medium / Small","N","Y","Not Listed","Suspended"
"65524","539785","PDMJEPAPER","Pudumjee Paper Products Ltd","Pudumjee Paper","Company","INE865T01018","B","861.29","Small Cap","MAN","00000044","Paper","00000213","Paper - Large","Y","Y","Active","Active"
"65601","538942","MERCANTILE","Mercantile Ventures Ltd","Mercantile Vent.","Company","INE689O01013","B","280.07","Small Cap","MAN","00000039","Services","00000329","Miscellaneous - Medium / Small","Y","Y","Active","Active"
"65916","539216","undefined","Garment Mantra Lifestyle Ltd","Garment Mantra","Company","INE653S01028","X","65.92","Small Cap","MAN","00000062","Textiles","00000315","Textiles - Others","Y","N","Active","Not Listed"
"65953","539963","undefined","Zeal Aqua Ltd","Zeal Aqua","Company","INE819S01025","X","137.54","Small Cap","MAN","00000027","FMCG","00000008","Aquaculture","Y","N","Active","Not Listed"
"66424","539227","undefined","Loyal Equipments Ltd","Loyal Equipments","Company","INE876S01017","X","164.17","Small Cap","MAN","00000009","Capital Goods-Non Electrical Equipment","00000126","Engineering - Light - General - Medium / Small","Y","N","Active","Not Listed"
"67024","541735","undefined","Vivanta Industries Ltd","Vivanta Indust.","Company","INE299W01022","X","23.45","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000076","Construction - Civil / Turnkey - Medium / Small","Y","N","Active","Not Listed"
"67535","539562","AARNAV","Aarnav Fashions Ltd","Aarnav Fashions","Company","INE750R01016","T","141.29","Small Cap","MAN","00000062","Textiles","00000315","Textiles - Others","Y","Y","Active","Active"
"68848","540776","5PAISA","5paisa Capital Ltd","5paisa Capital","Company","INE618L01018","B","1794.65","Small Cap","FIN","00000058","Stock/ Commodity Brokers","00000338","Securities/Commodities Trading Services","Y","Y","Active","Active"
